samples.id	patient.id	condition	cell.type
M-D MOCK PBMCB	P3	MOCK	PBMCB
M-D MCM PBMCB	P3	MCM	PBMCB
M-K MOCK PBMCB	P4	MOCK	PBMCB
M-K MCM PBMCB	P4	MCM	PBMCB
P-A MOCK PBMCB	P1	MOCK	PBMCB
P-A MCM PBMCB	P1	MCM	PBMCB
P-W MOCK PBMCB	P2	MOCK	PBMCB
P-W MCM PBMCB	P2	MCM	PBMCB
all MOCK PBMCB	all	MOCK	PBMCB
all MCM PBMCB	all	MCM	PBMCB
M-D MOCK TIBC	P3	MOCK	TIBC
M-D MCM TIBC	P3	MCM	TIBC
M-K MOCK TIBC	P4	MOCK	TIBC
M-K MCM TIBC	P4	MCM	TIBC
P-A MOCK TIBC	P1	MOCK	TIBC
P-A MCM TIBC	P1	MCM	TIBC
P-W MOCK TIBC	P2	MOCK	TIBC
P-W MCM TIBC	P2	MCM	TIBC
all MOCK TIBC	all	MOCK	TIBC
all MCM TIBC	all	MCM	TIBC
