uniprot_acc	M-D MOCK PBMCB	M-D MCM PBMCB	M-K MOCK PBMCB	M-K MCM PBMCB	P-A MOCK PBMCB	P-A MCM PBMCB	P-W MOCK PBMCB	P-W MCM PBMCB	all MOCK PBMCB	all MCM PBMCB	M-D MOCK TIBC	M-D MCM TIBC	M-K MOCK TIBC	M-K MCM TIBC	P-A MOCK TIBC	P-A MCM TIBC	P-W MOCK TIBC	P-W MCM TIBC	all MOCK TIBC	all MCM TIBC
A0A0A0MS15	-4.616674986531526	-4.55373697248575	-4.607168842378047	-4.596750238770534	-3.491043098421166	-3.4828711018148972	-1.969587388893673	-2.022771132056163	-3.653758138591682	-3.7358821324014646	-5.026019138724573	-5.283209062101294	-5.375665136975212	-4.880619774711405	-4.5819612967959555	-4.842161338617988	-4.713691223493492	-4.647420842017308	-1.3771189760675453	-1.5312298520454912
A0A0B4J1Y9	-4.725804125300979	-5.009070746512256	-4.647646826932938	-4.601790702788725	-2.452892729647198	-3.3723721645351534	-2.6162198782821537	-2.7333218808606268	-3.256607186478779	-2.7106378902744868	-1.208565150073056	-1.6319101235011293	-5.267561028133704	-5.299536344956064	-5.755957902633837	-5.371574663358854	-5.322759504191588	-5.384027287850612	-4.574329635543393	-4.065567926077353
A0A0C4DH34	-1.6119402647965466	-1.689429013443556	-4.739450995797779	-4.570791191545697	-4.729140513050477	-4.7657808323026245	-4.520064579366572	-4.572342361030721	-4.310234516148112	-3.780055145888354	-5.080236429560475	-5.0903346375443945	-5.1441153717676675	-5.1305160948551745	-5.456709453765779	-5.18414410548968	-4.872630447828593	-4.87559233241387	-2.1896645798139165	-0.8714839055790844
A0A0C4DH38	-5.112476311867707	-5.005992444111833	-1.8289442235802973	-2.059933860086955	-3.868350580999165	-4.203777244330901	-4.852712862160865	-4.877124286690913	-2.958813899116211	-3.3410989925689547	-5.521907049504952	-5.463983438964858	-5.465157473834849	-5.498291345609457	-2.356802755514552	-3.076060622138886	-5.134410651849977	-5.401992917035139	-1.668878535670967	-2.1178018527296794
A0AV96	-3.352703007161133	-3.41667833364168	-3.2445912130075487	-3.30216340117144	-3.21106946095282	-3.135505167221863	-3.4044139436685072	-3.4980787997775753	-3.4064089461376	-3.285762523948317	-3.1444203984350114	-3.3477724719362953	-3.6935310411937774	-3.4939645723497006	-3.224173971018463	-3.326524434126229	-3.198078884186535	-3.1435504466078927	-3.3890394133281525	-3.3457959177914787
A0AVT1	-3.281266886013184	-3.2873299445047257	-3.426121136358607	-3.357462959641106	-3.4095543205952863	-3.2858597836494674	-3.2627605609885393	-3.2276764410067265	-3.392782514580601	-3.3028487150639236	-3.320985781869867	-3.2713141008253706	-3.395081921149127	-3.236527706979778	-3.5015994585214463	-3.5164771803786734	-3.2837623634001245	-3.103381475426525	-3.365192376728233	-3.2729581114707385
A0FGR8	-3.2833578244516195	-3.1491850052794033	-3.324963296158142	-3.2469025357822137	-3.611984962000337	-3.393722257236662	-3.293999083766375	-3.2549992511722774	-3.426638829793976	-3.281976115224804	-3.274686033787795	-3.196622151383988	-3.495010804115357	-3.2499954145979073	-3.5243391421514594	-3.382801985802532	-3.418688600699829	-3.2737382955311456	-3.3186886056744505	-3.1344407492493516
A0JNW5	-3.3323872117960867	-3.298976605104294	-3.465068678557602	-3.3243979065155544	-3.3404150486605806	-3.346020544633001	-3.241120833730196	-3.19163560708285	-3.3531157378981113	-3.342406042688732	-3.2915235122575064	-3.2909642625105104	-3.322963632384916	-3.2546074876797766	-3.2920291083759334	-3.2077736545275974	-3.4413432479782777	-3.357669149877794	-3.478689721747542	-3.302515371439002
A0PJW6	-3.369715631638201	-3.3795016309509927	-3.3763802586676217	-3.4226864483109827	-3.1186903635238994	-3.2763371683724265	-3.333830480105469	-3.3328405320795205	-3.401256348654033	-3.2350520699178493	-3.354887876868988	-3.582796472806782	-3.058791739984706	-3.2193752912026663	-3.4564875654430822	-3.347800096443307	-3.4117210399297115	-3.2954907616792446	-3.207303434816962	-3.3507423000999497
A0PK00	-3.289674964990502	-3.2128829264776364	-3.6860438050296582	-3.2128790598507253	-3.4683531755360875	-3.1804151049785627	-3.2535900052941007	-2.9831090226360195	-3.456763514706336	-3.620840039247827	-3.283964271204213	-3.158114924289819	-3.4597919673823903	-3.4699348446583795	-3.82048246552865	-3.0768198802780415	-3.3207049297930307	-3.126211814930601	-3.2729022277219224	-3.368808340766279
A1A4S6	-3.1406575999257456	-3.105994731070821	-3.6327515754907154	-3.5517322658291968	-3.6406943720636327	-3.5242038022945623	-3.1472774677970183	-2.9844944003518608	-3.425173363848679	-3.249256211717992	-3.2126564763472665	-3.1188567670665295	-3.554867221604904	-3.2599129800768996	-3.3148221297045533	-3.175300605809923	-3.4414512330580793	-3.261474915355354	-3.5438612356624843	-3.40701100916453
A1L0T0	-3.398433090508279	-3.363927899140052	-3.382320512422312	-3.3033229700833875	-3.201884202807911	-3.2444827321031013	-3.3049740415860653	-3.2993696665672	-3.4378752772860803	-3.298907183569276	-3.3611366951185904	-3.3181434586370555	-3.4282784544269997	-3.370708184886352	-3.2876868738195624	-3.3518177478363627	-3.1941965601518243	-3.237493380272225	-3.381998492152273	-3.303409512965719
A2A288	-3.5658629643757784	-3.443189421066304	-3.650144909511864	-3.733305102427176	-3.132928027622204	-3.1034280967367867	-3.0869806512448363	-3.216591740275211	-3.2270094642207976	-3.232916785119376	-3.2521370329948396	-3.292598783963291	-3.6411218666310785	-3.479776818614188	-3.1963235494687865	-2.9902979742057094	-3.191233582965392	-3.073267772378683	-3.6390312576274506	-3.649247209605916
A2RRP1	-3.320503088743006	-3.304491127839838	-3.395923416025261	-3.3227816037094717	-3.470525090665787	-3.26985728820362	-3.2807686117177624	-3.1911972154757517	-3.402156346855997	-3.280875734237749	-3.407705715362677	-3.277357599335338	-3.4823227829826853	-3.3509935343061263	-3.189399848802177	-3.0909208055976856	-3.4896515329424727	-3.359113772015186	-3.3836063522178694	-3.2396402895593064
A2RTX5	-3.1624769388173317	-3.14906830412359	-3.349033805272505	-3.4003015065750537	-3.34748285153564	-3.3492450558912505	-3.4096733946156323	-3.27378234353078	-3.4581092219092566	-3.3528468958513207	-3.3024673545579746	-3.154126838714442	-3.60314576067167	-3.3528500119934512	-3.4104763421843645	-3.395308127110259	-3.389237922019684	-3.2549668907532725	-3.322201559949832	-3.096934948881186
A2RUS2	-3.479299051350316	-3.3563221573664004	-3.8582791594125174	-3.6554036882067233	-3.9561453281284953	-3.698711156157058	-2.7637819917176745	-2.502926077897545	-3.4212619945304397	-3.2388203885283393	-3.6201455500018462	-3.223404944435188	-3.4327891884777517	-3.0928067915770843	-3.105134258658918	-2.8444177392971155	-3.784417575820815	-3.446941884861936	-3.5883437812147765	-3.3374291995125747
A2VDJ0	-3.300487865461943	-3.366359523110382	-3.3210141842292065	-3.4076086032228896	-3.253852039271718	-3.3247269823166676	-3.309444569907414	-3.262146218314825	-3.3343361133234657	-3.34583171008436	-3.4160860954929864	-3.4219125521951748	-3.267050607277025	-3.3032454558444364	-3.157000938670026	-3.078600093745503	-3.3874324910279405	-3.4767780599277955	-3.332665511274789	-3.4311597756252303
