samples.id	group	lib.size	norm.factors	patient	cell_type	treatment
195-13	MOCK	29907534	1.062997744830732	P1	TIBC	MOCK
195-14	MCM	26397322	0.992776768926865	P1	TIBC	MCM
195-19	MOCK	18194834	1.007782702492911	P2	PBMCB	MOCK
195-20	MCM	24282215	1.00414103685553	P2	PBMCB	MCM
197-11	MOCK	22628117	0.9522868959670034	P1	PBMCB	MOCK
197-12	MCM	23319849	1.0115731656545113	P1	PBMCB	MCM
197-13	MOCK	22266757	0.9757772272772997	P2	TIBC	MOCK
197-14	MCM	27595533	1.1158645126477735	P2	TIBC	MCM
197-1	MOCK	113200728	0.968437120802153	P3	TIBC	MOCK
197-2	MCM	25830746	1.0290670557037436	P3	TIBC	MCM
197-3	MOCK	15521345	0.9675442478337796	P3	PBMCB	MOCK
197-4	MCM	31446259	1.0078998151951044	P3	PBMCB	MCM
197-5	MOCK	24470913	0.9440933514683344	P4	TIBC	MOCK
197-6	MCM	27055478	1.0445292547191296	P4	TIBC	MCM
197-7	MOCK	23998487	0.9003325122661409	P4	PBMCB	MOCK
197-8	MCM	25929798	1.03463078751876	P4	PBMCB	MCM
