,orig.ident,nCount_RNA,nFeature_RNA
cy53_1_CD45_neg_H12_S384_comb,cy53,50508,8124
Cy81_FNA_CD45_G01_S265_comb,Cy81,292554,3301
cy94_cd45pos_F03_S159_comb,cy94,240094,4246
cy79_p4_CD45_pos_PD1_pos_F03_S351_comb,cy79,177665,3824
cy94_cd45pos_C05_S125_comb,cy94,830771,7004
CY89A_CD45_POS_6_H05_S185_comb,CY89A,82518,2905
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C11_S515_comb,cy79,108172,6918
cy79_p3_CD45_neg_PDL1_neg_E09_S249_comb,cy79,638616,5272
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B08_S500_comb,cy79,14916,2202
Cy72_CD45_H02_S758_comb,Cy72,206038,3137
cy84_Primary_CD45_pos_E03_S435_comb,cy84,185132,3539
cy84_Met_CD45_pos_B03_S879_comb,cy84,75226,2196
cy80_Cd45_pos_Pd1_neg_S366_H06_S366_comb,cy80,60650,3015
CY88CD45POS_2_G05_S461_comb,CY88CD45POS,223798,3930
cy80_CD_90_pos_A04_S868_comb,cy80,145634,7692
cy80_CD_90_pos_F08_S932_comb,cy80,224712,8772
cy79_p3_CD45_pos_PD1_neg_A08_S104_comb,cy79,92440,2785
CY89A_Core_15_G04_S76_comb,CY89A,94678,2860
CY89A_CD45_POS_10_E10_S250_comb,CY89A,27575,2218
CY89A_CD45_POS_6_G07_S175_comb,CY89A,108827,2836
cy80_Cd45_pos_Pd1_neg_S202_A10_S202_comb,cy80,164585,4683
cy80_Cd45_pos_Pd1_neg_S201_A09_S201_comb,cy80,164185,3866
cy84_Primary_CD45_pos_H12_S480_comb,cy84,161826,3499
CY89COREQ1_H02_S374_comb,CY89COREQ1,22494,1952
cy94_cd45neg_cd90pos_E02_S338_comb,cy94,1112572,5288
cy94_cd45neg_cd90pos_H06_S378_comb,cy94,498214,5748
cy80_Cd45_pos_Pd1_neg_S221_B05_S221_comb,cy80,53207,3358
cy79_p3_CD45_pos_PD1_neg_E01_S145_comb,cy79,52574,2264
cy84_Primary_CD45_pos_B03_S399_comb,cy84,127401,3711
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A02_S962_comb,cy60,41415,2175
cy79_p3_CD45_pos_PD1_neg_F07_S163_comb,cy79,72718,3117
CY89A_Core_15_D04_S40_comb,CY89A,132685,3428
cy60_1_cd_45_pos_3_C12_S324_comb,cy60,38413,2283
cy94_cd45pos_C03_S123_comb,cy94,762680,4417
cy80_Cd45_pos_PD1_pos_A03_S15_comb,cy80,427813,7098
cy94_cd45pos_D07_S139_comb,cy94,158644,5049
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C07_S991_comb,cy60,88238,3146
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B04_S496_comb,cy79,19189,2265
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H05_S569_comb,cy79,38713,2859
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A09_S969_comb,cy60,39564,3390
CY89A_Core_15_B01_S13_comb,CY89A,65057,2486
cy60_1_cd_45_pos_3_E01_S337_comb,cy60,69218,2578
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C11_S995_comb,cy60,59159,2707
CY89FNA_E08_S248_comb,CY89FNA,226553,3538
CY94CD45POS_1_F10_S166_comb,CY94CD45POS,291570,5219
cy60_1_cd_45_pos_3_E12_S348_comb,cy60,35058,2880
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C01_S985_comb,cy60,62622,2489
cy80_Cd45_pos_PD1_pos_D12_S96_comb,cy80,72184,4784
cy60_1_cd_45_pos_3_A04_S292_comb,cy60,60741,2494
cy80_Cd45_pos_Pd1_neg_S294_E06_S294_comb,cy80,115594,4215
cy72_CD45_pos_F08_S932_comb,cy72,64937,3057
cy53_1_CD45_neg_A03_S291_comb,cy53,720730,5332
CY89A_Core_15_A09_S9_comb,CY89A,54585,2654
cy94_cd45neg_cd90pos_C10_S322_comb,cy94,77718,3370
cy94_cd45pos_C12_S132_comb,cy94,927560,6213
Cy80_II_CD45_G05_S941_comb,Cy80,97060,3681
cy80_CD_90_pos_E04_S916_comb,cy80,206118,9455
cy80_Cd45_pos_Pd1_neg_S370_H10_S370_comb,cy80,114415,4274
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C06_S990_comb,cy60,40228,2210
cy60_1_cd_45_pos_4_D01_S37_comb,cy60,88413,3309
cy94_cd45pos_F05_S161_comb,cy94,222904,4303
cy82_CD45_neg_1_B09_S213_comb,cy82,198616,6787
cy72_CD45_pos_A11_S875_comb,cy72,46210,3051
CY89COREQ1_H03_S375_comb,CY89COREQ1,59355,2775
cy80_CD45_pos_PD1_pos_B10_S118_comb,cy80,61093,4276
cy80_CD45_neg_D12_S912_comb,cy80,87664,5847
cy74_CD45_pos_D03_S711_comb,cy74,72607,2866
CY88CD45POS_7_C03_S219_comb,CY88CD45POS,245250,4751
