uniprot_acc	uniprot	RefSeqId	Gene	Name
A0A0A0MS15	A0A0A0MS15	NA	NA	NA
A0A0B4J1Y9	A0A0B4J1Y9	NA	NA	NA
A0A0C4DH34	A0A0C4DH34	NA	NA	NA
A0A0C4DH38	A0A0C4DH38	NA	NA	NA
A0AV96	A0AV96	54502	RBM47	RNA binding motif protein 47
A0AVT1	A0AVT1	55236	UBA6	ubiquitin like modifier activating enzyme 6
A0FGR8	A0FGR8	57488	ESYT2	extended synaptotagmin 2
A0JNW5	A0JNW5	23074	UHRF1BP1L	UHRF1 binding protein 1 like
A0PJW6	A0PJW6	79064	TMEM223	transmembrane protein 223
A0PK00	A0PK00	144404	TMEM120B	transmembrane protein 120B
A1A4S6	A1A4S6	79658	ARHGAP10	Rho GTPase activating protein 10
A1L0T0	A1L0T0	10994	ILVBL	ilvB acetolactate synthase like
A2A288	A2A288	340152	ZC3H12D	zinc finger CCCH-type containing 12D
A2RRP1	A2RRP1	51594	NBAS	neuroblastoma amplified sequence
A2RTX5	A2RTX5	123283	TARSL2	threonyl-tRNA synthetase like 2
A2RUS2	A2RUS2	22898	DENND3	DENN domain containing 3
A2VDJ0	A2VDJ0	23240	TMEM131L	transmembrane 131 like
A3KMH1	A3KMH1	23078	VWA8	von Willebrand factor A domain containing 8
A3KN83	A3KN83	55206	SBNO1	strawberry notch homolog 1
A4D1E9	A4D1E9	85865	GTPBP10	GTP binding protein 10
A4D1P6	A4D1P6	29062	WDR91	WD repeat domain 91
A4D1U4	A4D1U4	57189	KIAA1147	KIAA1147
A5PLN9	A5PLN9	80006	TRAPPC13	trafficking protein particle complex 13
A5YKK6	A5YKK6	23019	CNOT1	CCR4-NOT transcription complex subunit 1
A6NC98	A6NC98	283234	CCDC88B	coiled-coil domain containing 88B
A6NDG6	A6NDG6	283871	PGP	phosphoglycolate phosphatase
A6NDU8	A6NDU8	285636	C5orf51	chromosome 5 open reading frame 51
A6NFI3	A6NFI3	100131017	ZNF316	zinc finger protein 316
A6NFQ2	A6NFQ2	285966	TCAF2	TRPM8 channel associated factor 2
A6NFY4	A6NFY4	100131211	NEMP2	nuclear envelope integral membrane protein 2
A6NHL2	A6NHL2	79861	TUBAL3	tubulin alpha like 3
A6NHR9	A6NHR9	23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1
A6NI79	A6NI79	26112	CCDC69	coiled-coil domain containing 69
A6NJ78	A6NJ78	196074	METTL15	methyltransferase like 15
A7E2V4	A7E2V4	23053	ZSWIM8	zinc finger SWIM-type containing 8
A8CG34	A8CG34	NA	NA	NA
A8MSI8	A8MSI8	201229	LYRM9	LYR motif containing 9
A8MW92	A8MW92	51105	PHF20L1	PHD finger protein 20 like 1
A8MXV4	A8MXV4	390916	NUDT19	nudix hydrolase 19
A9UHW6	A9UHW6	57409	MIF4GD	MIF4G domain containing
ALBU_BOVIN	ALBU_BOVIN	NA	NA	NA
B0I1T2	B0I1T2	64005	MYO1G	myosin IG
B7ZAP0	B7ZAP0	9910	RABGAP1L	RAB GTPase activating protein 1 like
C9JLW8	C9JLW8	348262	MCRIP1	MAPK regulated corepressor interacting protein 1
E9PRG8	E9PRG8	NA	NA	NA
GSTP1_HUMAN	GSTP1_HUMAN	NA	NA	NA
O00115	O00115	1777	DNASE2	deoxyribonuclease 2, lysosomal
O00116	O00116	8540	AGPS	alkylglycerone phosphate synthase
O00139	O00139	3796	KIF2A	kinesin family member 2A
O00148	O00148	10212	DDX39A	DExD-box helicase 39A
O00151	O00151	9124	PDLIM1	PDZ and LIM domain 1
O00154	O00154	11332	ACOT7	acyl-CoA thioesterase 7
O00159	O00159	4641	MYO1C	myosin IC
O00161	O00161	8773	SNAP23	synaptosome associated protein 23
O00165	O00165	10456	HAX1	HCLS1 associated protein X-1
O00170	O00170	9049	AIP	aryl hydrocarbon receptor interacting protein
O00178	O00178	9567	GTPBP1	GTP binding protein 1
O00182	O00182	3965	LGALS9	galectin 9
O00186	O00186	6814	STXBP3	syntaxin binding protein 3
O00189	O00189	9179	AP4M1	adaptor related protein complex 4 mu 1 subunit
O00193	O00193	10944	C11orf58	chromosome 11 open reading frame 58
O00203	O00203	8546	AP3B1	adaptor related protein complex 3 beta 1 subunit
O00214	O00214	3964	LGALS8	galectin 8
O00217	O00217	4728	NDUFS8	"NADH:ubiquinone oxidoreductase core subunit S8"
O00221	O00221	4794	NFKBIE	NFKB inhibitor epsilon
O00231	O00231	5717	PSMD11	proteasome 26S subunit, non-ATPase 11
O00232	O00232	5718	PSMD12	proteasome 26S subunit, non-ATPase 12
O00233	O00233	5715	PSMD9	proteasome 26S subunit, non-ATPase 9
O00244	O00244	475	ATOX1	antioxidant 1 copper chaperone
O00255	O00255	4221	MEN1	menin 1
O00257	O00257	8535	CBX4	chromobox 4
